Material,SALDO,C Promedio S/.,COSTO,C Promedio US$,PRECIO PUBLICO
"CLAVO DE ACERO 3 1/2"" BARCO X CAJA                                                                  ",1,6.36,S/ 7.50,2.02,S/ 15.00
"CLAVO DE ACERO 3"" BARCO                                                                             ",18,0.09,S/ 0.10,0.03,S/ 0.40
"CLAVO DE ACERO 3"" BARCO X CAJA                                                                      ",33,6.36,S/ 8.50,1.61,S/ 15.00
"CLAVO DE ACERO 4"" BARCO                                                                             ",85,0.15,S/ 0.18,0.05,S/ 0.50
"CLAVO DE ACERO 4"" X CAJA                                                                            ",46,6.36,S/ 7.50,2.02,S/ 15.00
"CLAVO DE ACERO 5"" BARCO                                                                             ",51,0.21,S/ 0.25,0.07,S/ 0.60
"CLAVO PARA CALAMINA 2 1/2"" PRODAC                                                                   ",6.5,5.76,S/ 6.80,1.83,S/ 12.00
"CLAVO PARA CALAMINA 2"" PRODAC                                                                       ",21.75,5.76,S/ 6.80,1.83,S/ 12.00
"CLORO LIQUIDO AL 6,5%  3,5 KG. MARTELL                                                              ",6,8.20,S/ 9.68,2.61,
"CLORO LIQUIDO AL 6,6%  3.30KG.  LOSARO                                                              ",4,6.36,S/ 7.50,2.02,
"CLORO LIQUIDO AL 7,5%  1GLN.  LOSARO                                                                ",3,4.64,S/ 5.48,1.47,
COCODRILOS                                                                                          ,-4,0.00,S/ 0.00,0.00,
"CODO 1"" F/GALVANIZADO                                                                               ",6,2.12,S/ 2.50,0.67,
"CODO 1/2"" BRONCE GROSSO LIVIANO                                                                            ",,,S/ 2.50,,S/ 5.00
"CODO 1/2"" BRONCE GROSSO PESADO                                                                            ",-44,0.00,S/ 4.80,0.00,S/ 7.00
"CODO 1/2"" F/GALVANIZADO                                                                             ",16,0.89,S/ 1.10,0.28,S/ 3.00
CODO 2X90 S/R AGUA PLASTICA                                                                         ,-21,0.00,S/ 0.00,0.00,
"CODO 3"" F/GALVANIZADO                                                                               ",-1,0.00,S/ 0.00,0.00,
"CODO 3/4"" BRONCE GROSSO                                                                             ",,,S/ 9.00,,
"CODO 45º 1"" S/R AGUA PLASTICA                                                                       ",-4,0.00,S/ 0.00,0.00,
"CODO 45º 1/2"" CPVC PAVCO                                                                            ",100,1.10,S/ 1.30,0.28,
"CODO 45º 1/2"" S/R AGUA                                                                              ",-4,0.00,S/ 0.00,0.00,
"CODO 45º 1/2"" S/R AGUA NICOLL                                                                       ",94,1.10,S/ 1.30,0.35,
"CODO 45º 1/2"" S/R AGUA PAVCO                                                                     ",,,S/ 1.00,,
"CODO 45º 1/2"" S/R AGUA PLASTICA                                                                     ",-53,0.40,S/ 0.47,0.13,
"CODO 45º 2"" AGUA HECHIZO                                                                   ",,,S/ 4.50,,
"CODO 45º 2"" DESAGUE GERFOR                                                                        ",,,S/ 1.41,,
"CODO 45º 2"" DESAGUE NICOLL                                                                          ",183,1.32,S/ 1.56,0.42,
"CODO 45º 2"" DESAGUE PAVCO                                                                           ",288,1.47,S/ 1.74,0.37,
"CODO 45º 2"" DESAGUE PLASTICA                                                                        ",170,1.20,S/ 1.42,0.30,
"CODO 45º 3"" DESAGUE NICOLL                                                                          ",35,2.08,S/ 2.45,0.66,
"CODO 45º 3"" DESAGUE PLASTICA                                                                        ",34,1.61,S/ 1.90,0.51,
"CODO 45º 3/4"" S/R AGUA PAVCO                                                                     ",,,S/ 1.50,,
"CODO 45º 4"" DESAGUE GERFOR                                                                          ",,,S/ 5.57,,
"CODO 45º 4"" DESAGUE NICOLL                                                                          ",262,3.16,S/ 3.73,1.00,
"CODO 45º 4"" DESAGUE PAVCO                                                                           ",41,5.92,S/ 7.66,1.50,
"CODO 45º 4"" DESAGUE PLASTICA                                                                        ",208,3.84,S/ 4.60,0.97,
"CODO 45º 4"" S/R AGUA PAVCO                                                                          ",-4,0.00,S/ 0.00,0.00,
"CODO 45º 4"" S/R AGUA PLASTICA                                                                       ",-1,0.00,S/ 0.00,0.00,
"CODO 45º 6"" ALCANTARILLADO                                                                          ",12,11.86,S/ 14.00,3.77,S/ 38.00
"CODO 90° 1/2"" MIXTO MATUSITA                                                                        ",70,0.84,S/ 0.99,0.27,
"CODO 90º 1 1/2"" C/R AGUA PLASTICA                                                                   ",-10,0.00,S/ 0.00,0.00,
"CODO 90º 1 1/2"" S/R AGUA INYECTOPLAST                                                               ",30,3.44,S/ 4.06,0.87,
"CODO 90º 1 1/2"" S/R AGUA PLASTICA                                                                   ",39,2.07,S/ 2.44,0.66,
"CODO 90º 1"" C/R AGUA PLASTICA                                                                       ",-2,0.00,S/ 0.00,0.00,
"CODO 90º 1"" S/R AGUA PAVCO                                                                          ",101,3.38,S/ 3.99,1.07,
"CODO 90º 1"" S/R AGUA PLASTICA                                                                       ",-10,0.00,S/ 0.00,0.00,
"CODO 90º 1/2"" C/R AGUA PAVCO                                                                        ",-5,0.00,S/ 0.00,0.00,
"CODO 90º 1/2"" C/R AGUA PLASTICA                                                                     ",19,0.25,S/ 0.30,0.08,
"CODO 90º 1/2"" CPVC PAVCO                                                                            ",292,0.83,S/ 0.98,0.21,
"CODO 90º 1/2"" MIXTO AGUA PAVCO                                                                      ",193,0.92,S/ 1.08,0.29,
"CODO 90º 1/2"" MIXTO AGUA PLASTICA                                                                   ",42,0.94,S/ 1.11,0.30,
"CODO 90º 1/2"" S/R AGUA NICOLL                                                                       ",631,0.84,S/ 0.99,0.24,
"CODO 90º 1/2"" S/R AGUA PAVCO                                                                        ",894,1.04,S/ 1.45,0.26,
"CODO 90º 1/2"" S/R AGUA PLASTICA                                                                     ",386,0.57,S/ 0.80,0.14,S/ 2.00
"CODO 90º 2 1/2"" S/R AGUA PLASTICA                                                                   ",-9,0.00,S/ 0.00,0.00,
"CODO 90º 2"" DESAGUE GERFOR                                                                        ",,,S/ 1.87,,
"CODO 90º 2"" DESAGUE NICOLL                                                                          ",759,1.39,S/ 1.69,0.35,
"CODO 90º 2"" DESAGUE PAVCO                                                                           ",125,1.70,S/ 2.01,0.43,
"CODO 90º 2"" DESAGUE PLASTICA                                                                        ",239,1.24,S/ 1.80,0.31,
"CODO 90º 2"" S/R AGUA                                                                                ",17,2.12,S/ 2.50,0.67,
"CODO 90º 2"" S/R AGUA INYECTOPLAST                                                                   ",30,5.48,S/ 6.46,1.39,
"CODO 90º 2"" S/R AGUA PLASTICA                                                                       ",73,3.82,S/ 4.51,1.21,
"CODO 90º 3"" DESAGUE NICOLL                                                                          ",39,2.46,S/ 2.90,0.78,
"CODO 90º 3"" DESAGUE PLASTICA                                                                        ",101,2.06,S/ 2.43,0.65,
"CODO 90º 3"" S/R AGUA PLASTICA                                                                       ",-9,0.00,S/ 0.00,0.00,
"CODO 90º 3/4"" CPVC                                                                                  ",39,1.36,S/ 1.60,0.43,
"CODO 90º 3/4"" S/R AGUA PAVCO                                                                        ",211,1.67,S/ 2.60,0.42,
"CODO 90º 3/4"" S/R AGUA PLASTICA                                                                     ",-5,0.42,S/ 0.50,0.13,
"CODO 90º 4"" DESAGUE GERFOR                                                                        ",,,S/ 6.82,,
"CODO 90º 4"" DESAGUE INYECTOPLAST                                                                    ",47,2.80,S/ 3.30,0.89,
"CODO 90º 4"" DESAGUE NICOLL                                                                          ",313,4.27,S/ 5.04,1.08,
"CODO 90º 4"" DESAGUE PAVCO                                                                           ",45,5.40,S/ 6.37,1.37,
"CODO 90º 4"" DESAGUE PLASTICA                                                                        ",200,4.66,S/ 5.81,1.18,
"CODO 90º 6"" ALCANTARILLADO                                                                          ",3,11.86,S/ 14.00,3.77,S/ 38.00
"CODO VENTILACION 4"" x 2"" DESAGUE PAVCO                                                              ",82,7.13,S/ 8.41,2.26,
COLA CLASICA CARPINTERO TEKNO                                                                       ,5,4.32,S/ 5.10,1.37,S/ 9.00
COLA EXTRA CARPINTERO TEKNO                                                                         ,14,6.44,S/ 7.60,2.05,S/ 15.00
COLA SINTETICA 1 GLN. LOSARO                                                                         ,,,S/ 19.50,,
COLA SINTETICA 1 KG. EL RAYO                                                                        ,3,2.90,S/ 3.42,0.92,
COLA SINTETICA 1 KG. LOSARO                                                                         ,3,3.08,S/ 3.63,0.98,
COLA SINTETICA 1 KG. MARTELL                                                                        ,22,3.29,S/ 3.89,1.05,
COLA SINTETICA 1 KG. NOVACERAM                                                                      ,41,4.15,S/ 5.20,1.05,S/ 8.00
COLA SINTETICA 1/4 KG. LOSARO                                                                       ,26,1.68,S/ 1.99,0.53,
COLA SINTETICA 1/4 KG. MARTELL                                                                      ,11,1.61,S/ 1.90,0.51,
COLA SINTETICA 4 KG. (BALDE) MARTELL                                                                ,2,9.75,S/ 11.50,3.09,
COLA SINTETICA 4 LT.NOVACERAM                                                                       ,7,11.65,S/ 13.75,3.70,
